Alfa romeo,Bilmerke,,,,,,
Brera,,,,,,,
116d E87 normalversjon,85kW,115hk,107kW,145hk,260Nm,300Nm,
116d E87 powerverjon,85kW,115hk,117kW,160hk,260Nm,350Nm,
118d E87,90kW,122hk,110kW,150hk,280Nm,340Nm,
118d E87,100kW,136hk,132kW,180hk,300Nm,370Nm,
118d E87,105kW,144hk,132kW,180hk,300Nm,370Nm,
120d E87,120kW,163hk,145kW,197hk,340Nm,410Nm,
120d (2006-...),130kW,177hk,158kW,215hk,350Nm,410Nm,
123d,150kW,204hk,180kW,245hk,400Nm,480Nm,
 , , , , , , ,
320... 3 serie,,,,,,,
316i E36 (1991-1998),75kW,102hk,86kW,117hk,150Nm,175Nm,
316i E46 (1999-2005),77kW,105hk,88kW,120hk,165Nm,180Nm,
316i,85kW,115hk,94kW,128hk,150Nm,165Nm,
316i E90,90kW,122hk,97kW,132hk,160Nm,176Nm,
318i E36 (1991-1998),85kW,115hk,97kW,132hk,168Nm,193Nm,
318iS E36 (1991-1998),103kW,140hk,118kW,160hk,175Nm,191Nm,
318i E46 (1999-2005),87kW,118hk,96kW,131hk,180Nm,200Nm,
318i E90 (2006-....),105kW,143hk,115kW,157hk,190Nm,216Nm,
320i E36 (1991-1998),95kW,129hk,104kW,142hk,164Nm,180Nm,
320i E36 (1991-1998),110kW,150hk,121kW,165hk,190Nm,210Nm,
320i E46 (1999-2005),125kW,170hk,138kW,187hk,210Nm,235Nm,
320i E90 (2006 - ...),110kW,150hk,93kW,168hk,200Nm,220Nm,
320i E90 (2006-....),125kW,170hk,138kW,187hk,210Nm,235Nm,
323i E36 (1991-1998),125kW,170hk,140kW,190hk,245Nm,270Nm,
323i E46 (1998-2003),125kW,170hk,140kW,190hk,245Nm,270Nm,
325i E36 (1991-1998),141kW,192hk,154kW,210hk,245Nm,275Nm,
325i E46 (1999-2005),141kW,192hk,154kW,210hk,245Nm,275Nm,
328i E36 (1991-1998),142kW,193hk,154kW,210hk,280Nm,305Nm,
328i E46 (1999-2005),142kW,193hk,154kW,210hk,280Nm,305Nm,
330i E46 (1999-2005),170kW,231hk,185kW,243hk,300Nm,330Nm,
M3 3.0 E36 1992-1995,210kW,286hk,229kW,311hk,-Nm,+39Nm,
M3 3.2 E36 1996-1999,236kW,321hk,254kW,346hk,-Nm,+41Nm,
M3 3.2 E46 2000-2007,252kW,343hk,269kW,366hk,365Nm,406Nm,
318 TDS E36,66kW,90hk,85kW,115hk,190Nm,249Nm,
318d (1999-2001),85kW,115hk,105kW,143hk,265Nm,325Nm,
318d 2002-2005,85kW,115hk,105kW,143hk,265Nm,325Nm,
318d,90kW,122hk,112kW,152hk,280Nm,340Nm,
318d (2002-2007),100kW,136hk,132kW,180hk,300Nm,370Nm,
318d (2008-...),100kW,136hk,132kW,180hk,300Nm,370Nm,
318d (2008-...,105kW,144hk,132kW,180hk,300Nm,370Nm,
320d E46 1999-2001,100kW,136hk,121kW,166hk,280Nm,355Nm,
320d E46 2001-2005,110kW,150hk,132kW,185hk,330Nm,390Nm,
320d E90 (2005 - ...),120kW,163hk,147kW,200hk,340Nm,400Nm,
320d E90 (2007-...),130kW,177hk,158kW,215hk,350Nm,410Nm,
320d E90 (2010 - ...),135kW,184hk,162kW,221hk,380Nm,450Nm,
324 TD E30,85kW,115hk,103kW,140hk,220Nm,262Nm,
325 TD E36,85kW,115hk,105kW,140hk,245Nm,285Nm,
325 TDS E36,105kW,143hk,125kW,170hk,260Nm,330Nm,
325d E90 3L (2005-..).,145kW,197hk,154kW,237hk,400Nm,500Nm,
330d E46 1999-2003,135kW,184hk,159kW,220hk,390Nm,510Nm,
330d E46 2004-2005,150kW,204hk,169kW,255hk,410Nm,550Nm,
330d E90 (2005-2008),170kW,231hk,206kW,280hk,500Nm,600Nm,
330d E90 (2008 -....),180kW,245hk,217kW,295hk,520Nm,620Nm,
335d E90 (2005-....),210kW,286hk,336kW,347hk,580Nm,710Nm,
 ,,,,,,,
520... 5 serie,,,,,,,
520i E39 (1996-01),110kW,150hk,121kW,165hk,190Nm,210Nm,
520i E39 (2000-05),125kW,170hk,138kW,187hk,210Nm,235Nm,
